Dia,Semana,Stories,Feed,Formato,Ações,Legenda,Arte/Link,Observações,Status
01/06/2026,segunda-feira,Ganhadora Telli Lover + contagem Regressiva para o dia dos namorados,Carrossel: “A sorte no amor existe sim.” >> Marque seu namorado!,,Substack: Vamos falar sobre amor? (pensei em usar isso para trazer elas para o clima de dia dos namorados),,,"Segurança: 

Todas as artes e vídeos devem contém essa informação em letras miúdas em baixo: 

*A Roleta do Amor é válida para compras finalizadas. Brindes promocionais não poderão ser trocados.",
02/06/2026,terça-feira,Convite GRUPO VIP,,,,,,,
03/06/2026,quarta-feira,Backstage da Marca + Formato do feed // no final coloca o link da seleção,"Estático: Ei Amor, de dia dos namorados eu quero MARI TELLI BRAND ( use esse post para marcar seu/sua compranheiro(a) e dizer que você amaria ganhar de dia dos namorados.",,,,,,
04/06/2026,quinta-feira,Raio X da Peça + Estático com link: Roleta do Amor: “Entre no site e descubra o que te espera”,"Carrossel: Seleção Match, Looks para compartilhar: (colocar os looks que são unissex)",,,,,,
05/06/2026,sexta-feira,Compre On-line (visão da campanha),,,,,,,
06/06/2026,sábado,Vídeo dos brindes passando bem rápido e no link: Roleta do Amor Clique e Ganhe: direciona para o site,Carrossel: LOOKs perfeitos para usar no DATE de dia dos namorados: (pelo menos 4 looks),,,,,,
07/06/2026,domingo,,,,,,,,
08/06/2026,segunda-feira,Cupom de Primeira Compra +  Contagem Regressiva,Reels: (Produto),,,,,,
09/06/2026,terça-feira,Convite GRUPO VIP,,,,,,,
10/06/2026,quarta-feira,Backstage da Marca,"Reels: Fotos de vários casais de mãos dadas (somente a mão) escrever no meio do vídeo: ""O lado bom da vida é o lado que tem você comigo""",,,,,Pedir para enviar a foto em formato de stories (vertical),
11/06/2026,quinta-feira,Raio X da Peça + enquete: Qual será seu destino de dias dos namorados?,,,,,,Opções da enquete: Jantar romantico / Pipoca e Netflix / Noite de vinhos // Viajar,
12/06/2026,sexta-feira,"Compre On-line + Hj espalhe AMOR, clique aqui (botão com o coração) Feliz dia dos Namorados",Carrossel: Feliz Dia dos Namorados,,,,,,
13/06/2026,sábado,Conceito,,,,,,,
14/06/2026,domingo,,,,,,,,
15/06/2026,segunda-feira,Cupom de Primeira Compra,Carrossel: (Produto),,"Substack: ( o dia dos namorados passou, e como falamos muito de amor, vamos falar sobre o amor própio)",,,,
16/06/2026,terça-feira,Convite GRUPO VIP,,,,,,,
17/06/2026,quarta-feira,Backstage da Marca,,,,,,,
18/06/2026,quinta-feira,Raio X da Peça,,,,,,,
19/06/2026,sexta-feira,Compre On-line + Dia do cinema combina com Pipoca e Pijama: Clique e confira nossas opções de confywear (link dos pijamas),"Carrossel: Dia o Cinema Brasileiro, confira essa seleção de filmes para vocês aproveitar:",,,,,"Mari, selecionar uns 4 filmes brasileiros para indicarmos",
20/06/2026,sábado,Destaque da Semana: (vídeo + foto) (PRODUTO),,,,,,,
21/06/2026,domingo,,,,,,,,
22/06/2026,segunda-feira,Cupom de Primeira Compra,"Reels: (Mari falando direto pra câmera: Se você se identifica com esses looks aponta para eles passando na tela, você tem que conhecer a minha marca, aqui na Mari Telli Brand você..... (e fala sobre os diferenciais da marca)",,,,,,
23/06/2026,terça-feira,Convite GRUPO VIP,,,,,,,
24/06/2026,quarta-feira,Backstage da Marca,,,,,,,
25/06/2026,quinta-feira,Raio X da Peça,Carrosel: (Scarpin recortes salto médio),,,,,,
26/06/2026,sexta-feira,Compre On-line,,,,,,,
27/06/2026,sábado,,,,,,,,
28/06/2026,domingo,,,,,,,,
29/06/2026,segunda-feira,Cupom de Primeira Compra,Reels: A temporada de férias vem ai! Bora montar uma mala Inteligente e Compacta,,,,,,
30/06/2026,terça-feira,Convite GRUPO VIP,,,,,,,
