Dia,Semana,Stories,Feed,Formato Feed,Ações,Legenda,Arte/Link,Observações,Status
01/05/2026,sexta-feira,Compre On-line //  Ganhadora Telli Lover,"Reels: Desafiamos algumas filhas a identificar qual o estilo universal de suas mães, confira o resultado: As filhas vão aplicar o teste de Estilo Mari telli e ver se realmente acertaram o estilo (tudo de forma espontâne e natural)",Reels,,,https://drive.google.com/drive/folders/16HAZD3a-mMv2vlO1XlAel5BzXQmH5rg-?usp=drive_link,"Mari liga de vídeo para a pessoa, perguntando se ela sabe o estilo da mãe dela! 

2. respondendo a Mari sobre qual estilo acho que minha mãe é e aceitando o desafio de fazer o teste

3. fazendo o teste juntas, mãe e filha

4. Final juntas comentando quais peças favoritas da seção do seu estilo na Mari Telli e pedindo seu presente de dia das mães!",Aprovado
02/05/2026,sábado,Feedback  // contagem regressiva dia das mães  (use o cupom diadasmaes e ganhe um brinde),Frase: “O seu estilo me inspira”  ... Mãe,Estático,,"Já parou para pensar o quanto somos influenciados pelas nossas mães? não só no nosso estilo, mas em nosso valores, gostos e opiniões...",,,Aprovado
03/05/2026,domingo,,,,,,,,Aprovado
04/05/2026,segunda-feira,Cupom de Primeira Compra,"Reels: Se você ainda não sabe o estilo da sua mãe e as vezes até erra na hr de comprar o presente, esse ano vamos facilitar sua vida! Responsa Presente Certo que vamos enviar um teste para você fazer junto com a sua mãe e descobrir qual presente se encaixar PERFEITO no estilo dela! SEM ERRO! bora descobrir",Reels,,,https://drive.google.com/file/d/1ZfP4GVlPBn_wVDse5tMOxUoxWLEJ5am4/view?usp=drive_link,,Aprovado
05/05/2026,terça-feira,Convite GRUPO VIP  // Contagem Regressiva dia das mães,,,,,,,Aprovado
06/05/2026,quarta-feira,Backstage da Marca,Carrossel: 1 Estilo Versos 1 Presente ((use o cupom diadasmaes e ganhe um brinde),Estático,,,,,Aprovado
07/05/2026,quinta-feira,Raio X da Peça (Calça alfaiataria lisa bege,,,,,https://drive.google.com/file/d/1PD2W7W1lGNJuAsx57Nfaas3YLPKtLXxj/view?usp=drive_link,,Aprovado
08/05/2026,sexta-feira,"Compre On-line // Caixinha de Pergunta, caracteristica você mais ama na sua mãe?",Reels: Emabalando um presente especial,Reels,Substack Dia das Mães: Como somos influenciados por nossas mães,,https://drive.google.com/drive/folders/1AKL4ZCpK4U6pzgej1ViSYFXM0fM2BBi5?usp=drive_link,,Aprovado
09/05/2026,sábado,Conceito,,,,,,,Aprovado
10/05/2026,domingo,Feliz Dia das Mães / story Mari desejando feliz dia das mães falado,Feliz Dia das Mães  (mari e mãe telli),Estático,,,https://drive.google.com/file/d/1pesf6ei36NFlje77B6vwcEW1gYsGfjjr/view?usp=drive_link https://drive.google.com/drive/folders/1gBgg10OkHZLQcINzjDF54LEY3kg6OKZ-?usp=drive_link,,Aprovado
11/05/2026,segunda-feira,Cupom de Primeira Compra,,,,,,,Aprovado
12/05/2026,terça-feira,Convite GRUPO VIP,,,,,,,Aprovado
13/05/2026,quarta-feira,Backstage da Marca,Carrossel: (produto),Carrossel,,,,,Aprovado
14/05/2026,quinta-feira,Raio X da Peça (Regata canelada alça média),,,,,,,Aprovado
15/05/2026,sexta-feira,Compre On-line,,,,,,,Aprovado
16/05/2026,sábado,Brindes Exclusivos,Reels: (produto),Reels,,,,,Aprovado
17/05/2026,domingo,,,,,,,,Aprovado
18/05/2026,segunda-feira,Cupom de Primeira Compra,,,,,,,Aprovado
19/05/2026,terça-feira,Convite GRUPO VIP,(Carrossel: (Regata Alça Média) 3 cores,Carrossel,,,,,Aprovado
20/05/2026,quarta-feira,Backstage da Marca,,,,,,,Aprovado
21/05/2026,quinta-feira,Raio X da Peça (Blusa de alfaiataria detalhe manga,,,,,,,Aprovado
22/05/2026,sexta-feira,Compre On-line,"O que são os 7 estilos universais que estamos falando tanto por aqui! No final ter, quer descobrir o seu, comente ESTILO e recebe o teste exclusivo!",Carrossel,,,https://maritelli.substack.com/p/qual-e-o-meu-estilo?r=hbl1k,,Aprovado
23/05/2026,sábado,Conceito,,,,,,,Aprovado
24/05/2026,domingo,,,,,,,,Aprovado
25/05/2026,segunda-feira,Stories de Lançamento,Reels: Laçamento da Roleta do Amor,Estático,* Mudar a cor da logo e banner com look compartilhados,,,"Acessando o site
↓
Roleta gira
↓
Ganha prêmio
↓
Escolhe presente
↓
Embalagem sendo montada

Texto:

“A Roleta do Amor está no ar.”

Final:

“Entre no site e descubra o que te espera.”",Aprovado
26/05/2026,terça-feira,Convite GRUPO VIP,,,,,,,Aprovado
27/05/2026,quarta-feira,contagem Regressiva para o dia dos namorados (gatilho),Frase Fashion,Estático,,,,,Aprovado
28/05/2026,quinta-feira,Raio X da Peça (Calça lisa malha com elástico),,Estático,,,,,Aprovado
29/05/2026,sexta-feira,Compre On-line,FeedBacks,Estático,,,,,Aprovado
30/05/2026,sábado,Brindes Exclusivos,Estático: Roleta com os prêmios  // chamando para participar,Estático,,,,,Aprovado
31/05/2026,domingo,,,,,,,,Aprovado
