Dia,Semana,Stories,Feed,Legenda,Arte/Link,Observações,Status
01/03/2026,domingo,,,,,,
02/03/2026,segunda-feira,,,,,,
03/03/2026,terça-feira,,O Sucesso da sua marca de moda exige estratégia ,,,,Postado
04/03/2026,quarta-feira,,,,,,
05/03/2026,quinta-feira,,,,,,
06/03/2026,sexta-feira,,,,,,
07/03/2026,sábado,,,,,,
08/03/2026,domingo,,,,,,
09/03/2026,segunda-feira,,,,,,
10/03/2026,terça-feira,,,,,,
11/03/2026,quarta-feira,,,,,,
12/03/2026,quinta-feira,,,,,,
13/03/2026,sexta-feira,,,,,,
14/03/2026,sábado,,,,,,
15/03/2026,domingo,,,,,,
16/03/2026,segunda-feira,,,,,,
17/03/2026,terça-feira,,,,,,
18/03/2026,quarta-feira,,Bate papo com viés ,,,,Postado
19/03/2026,quinta-feira,,,,,,
20/03/2026,sexta-feira,,,,,,
21/03/2026,sábado,,Reels Teste: Ano das distrações,,,,Postado
22/03/2026,domingo,,,,,,
23/03/2026,segunda-feira,Caixinha de Perguntas: Bora bater um papo sobre Marketing e Moda? ,Reels: Ano das distrações,,, ,Postado
24/03/2026,terça-feira,,Carrossel: O que fazemos em nosso laboratório ,,,,Postado
25/03/2026,quarta-feira,Stories Gravado ,Bate papo com viés ,,,PODE ESCOLHER ,Postado
26/03/2026,quinta-feira,FeedBacks: Como anda nossas fórmulas por ai: ,,,,,Postado
27/03/2026,sexta-feira,Storie Manifesto! (O que acreditamos.),Reels: Ainda dá tempo de Planejar?,,,Manifesto: Marca não nasce no feed. > Produto sem conceito não escala. > Moda sem estratégia vira liquidação. > Luxo não grita. Direciona. > Construir leva tempo.,Postado
28/03/2026,sábado,,,,,,
29/03/2026,domingo,,,,,,
30/03/2026,segunda-feira,Caixinha de Perguntas: Bora bater um papo sobre Marketing e Moda?,Quem já passou pelo nosso Laboratório: (Feedbacks) ,,,,Aprovado
31/03/2026,terça-feira,Stories Gravado ,,,,,Aprovado
