Dia,Semana,Stories,Feed,Ações,Legenda,Arte/Link,Observações,Status
01/05/2026,sexta-feira,15% de Desconto na Primeira Compra // Contagem Regressiva dia das mães,Reels: Cobertura do Desfile,,,,,Aprovado
02/05/2026,sábado,Look Inspiração Foto + Vídeo,"Carrosel: Looks pra acompanhar quem ela é todos os dias: (seleção de produtos para o dia das Mães, não usar no corpo da modelo)",,,,,Aprovado
03/05/2026,domingo,,,,,,,Aprovado
04/05/2026,segunda-feira,Compre On-line // Enquete você já comprou o presente de dias das mães?,Reels: 3 coisas que fazem sua mãe ser quem ela é: Pegar 3 resposta do dia da gravação e colocar no vídeo,,,,,Aprovado
05/05/2026,terça-feira,Vitrine ZNG // Uma Mãe versos 1 opção de presente (pode pegar os mesmo estilos de mães do feed),"Carrossel: Presente que faz sentido pra quem ela é: Mãe Ativa: opções / Mãe Amorosa: / Mãe protetora: / Mãe .... Pra mãe que faz acontecer”
 “Pra mãe que não para”
 “Pra mãe que vive na prática”",,,,,Aprovado
06/05/2026,quarta-feira,"Backstage da marca // Caixinha de perguntas: Agora compartilhe com a gente, o que faz sua mãe ser quem ela é?","Reels: Pegar cenas do dia da gravação, algumas falas de impacto: e no final questinar, e você oq faz ser sua mãe ser quem ela é? compartilhe com a gente e marque ela na resposta",,,,,Aprovado
07/05/2026,quinta-feira,ZOOM da Semana ( // Contagem regressiva,,,,,,Aprovado
08/05/2026,sexta-feira,15% de Desconto na Primeira Compra,"Reels: O que faz a sua mãe ser quem ela é?” (respostas rápidas)
 Reações das pessoas pensando (isso engaja muito)
 Momentos de surpresa (ligação / presente)",,,,,Aprovado
09/05/2026,sábado,Look Inspiração Foto + Vídeo,,,,,,Aprovado
10/05/2026,domingo,Feliz Dia das Mães (usar prints dos vídeos de alguns momentos de abraços),Reels: Dia Das Mães com todas as respostas coletadas na filmagem,,,,,Aprovado
11/05/2026,segunda-feira,Compre On-line,,,,,,Aprovado
12/05/2026,terça-feira,Vitrine ZNG,FeedBack,,,,,Aprovado
13/05/2026,quarta-feira,Backstage da marca,,,,,,Aprovado
14/05/2026,quinta-feira,ZOOM da Semana (,,,,,,Aprovado
15/05/2026,sexta-feira,15% de Desconto na Primeira Compra,Reels Produto (LEGGING V SHAPE SAPHIRE),,,,,Aprovado
16/05/2026,sábado,FeedBacks,,,,,,Aprovado
17/05/2026,domingo,,,,,,,Aprovado
18/05/2026,segunda-feira,Compre On-line,Raio X ( Recorte): (produto),,,,Lançamento Atacado (DROP 3),Aprovado
19/05/2026,terça-feira,Vitrine ZNG,,,,,,Aprovado
20/05/2026,quarta-feira,,,,,,,Aprovado
21/05/2026,quinta-feira,ZOOM da Semana + Contagem Regressiva Nova Coleçõ DROP 2,Carrossel: (produto),,,,,Aprovado
22/05/2026,sexta-feira,15% de Desconto na Primeira Compra,,"Grupo VIP Lançamento + e-mail mkt , CONVOCAÇÃO ZNG AS 10 primeiras compras acima de R$399,90 ganha um cropped para fazer parte da torcida ZNG (usar a fotos para anunciar)",,,* colocar que são cores sortidas,Aprovado
23/05/2026,sábado,Look Inspiração Foto + Vídeo,,,,,,Aprovado
24/05/2026,domingo,,,,,,,Aprovado
25/05/2026,segunda-feira,"Capa da Coleção com o link do DROP 2  + Oferta, CONVOCAÇÃO  ZNG, compre acima de R$399,90 leve um cropped especial do Braisl",Reels: Fashion Film com a junção dos vídeos,E-mail mkt Lançamento // vídeos para o tráfego,,,Lançamento Varejo (DROP 2),Aprovado
26/05/2026,terça-feira,Vitrine ZNG,,,,,,Aprovado
27/05/2026,quarta-feira,Backstage da marca,,Mateiral pra Tráfego: 4 Vídeos e estáticos (feed e stories)  // banner copa,,,,Aprovado
28/05/2026,quinta-feira,ZOOM da Semana + contagem regressiva de dia dos namorados,Doce Amor! Zero Açúcar | Esse ano quero um presente ZNG (use esse post para marcar seu mozão e dizer que amaria receber um presente ZNG),"Enquete GRUPO VIP: Quem aqui está esperando um super presente de dia dos namorados? // Eu!!! || Já quero sugestões || To solteira, quero é cupom",,,,Aprovado
29/05/2026,sexta-feira,15% de Desconto na Primeira Compra,,,,,,Aprovado
30/05/2026,sábado,FeedBacks + Estático igual do feed (silhueta do copo),Preparamos um presente PERFEITO para esse dia dos namorados (mostrando só a silhueta do copo)  Atenção ele pode ser compartilhado,banner dia dos namorados,,,,Aprovado
31/05/2026,domingo,,,,,,,Aprovado
